disease,drug
testicular cancer,"cisplatin, etoposide, bleomycin, cyclophosphamide, dactinomycin, ifosfamide, vinblastine"
tetanus,"methocarbamol, diazepam, tetanus immune globulin, chlorpromazine, penicillin g potassium, penicillin g sodium"
tetanus prophylaxis,"diphtheria and tetanus toxoids / pertussis, acellular, diphtheria toxoid / pertussis, acellular / tetanus toxoid, diphtheria toxoid / tetanus toxoid, tetanus immune globulin, diphtheria toxoid / haemophilus b conjugate (prp-t) vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid, diphtheria toxoid / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid, diphtheria toxoid / hepatitis b pediatric vaccine / pertussis, acellular / poliovirus vaccine, inactivated / tetanus toxoid, diphtheria and tetanus toxoids / pertussis, acellular / poliovirus vaccine, inactivated / haemophilus b conjugate / hepatitis b vaccine"
thalassemia,"hydroxyurea, deferasirox, deferiprone"
thrombocythemia,"hydroxyurea, anagrelide, busulfan, peginterferon alfa-2b"
thrombocytopenia,"prednisone, dexamethasone, eltrombopag, imiglucerase, avatrombopag, lusutrombopag"
thrombocytopenia idiopathic,"triamcinolone, eltrombopag"
thromboembolic disorder,vorapaxar
thromboembolic stroke prophylaxis,"aspirin, warfarin, apixaban"
thrombotic thrombocytopenic purpura,caplacizumab
thrombotic/thromboembolic disorder,"heparin, argatroban, alteplase, urokinase"
thyroid cancer,"thyroid desiccated, sodium iodide-i-131, sorafenib, lenvatinib, doxorubicin, cabozantinib, thyrotropin alpha, vandetanib, dabrafenib, trametinib"
thyroid eye disease,teprotumumab
thyroid storm,propylthiouracil
thyroid suppression test,"levothyroxine, liothyronine"
thyrotoxicosis,propranolol
tic disorder,risperidone
tinea barbae,griseofulvin
tinea capitis,"terbinafine, griseofulvin, itraconazole"
tinea corporis,"betamethasone / clotrimazole, ketoconazole, clotrimazole, terbinafine, miconazole, fluconazole, econazole, griseofulvin, tolnaftate, ciclopirox"
tinea cruris,"betamethasone / clotrimazole, ketoconazole, clotrimazole, econazole, fluconazole, terbinafine, miconazole, tolnaftate, ciclopirox, griseofulvin, clioquinol"
tinea pedis,"clotrimazole, ketoconazole, terbinafine, econazole, betamethasone / clotrimazole, tolnaftate, ciclopirox, miconazole, griseofulvin"
tinea versicolor,"ketoconazole, selenium sulfide, fluconazole, clotrimazole, econazole, miconazole, ciclopirox, itraconazole, terbinafine, tolnaftate"
tinnitus,"alprazolam, nortriptyline"
tonsillitis/pharyngitis,"amoxicillin, azithromycin, cefuroxime, clarithromycin, cefdinir, cefixime, benzocaine / menthol, cefadroxil, penicillin v potassium, cefaclor, cefpodoxime, phenol"
toothache,ibuprofen
topical disinfection,"povidone iodine, iodine, isopropyl alcohol, silver nitrate, sodium hypochlorite, benzalkonium chloride"
total parenteral nutrition,"parenteral nutrition solution w / electrolytes, fat emulsion, parenteral nutrition solution, chromic chloride hexahydrate, trace elements"
tourette's syndrome,"clonidine, guanfacine, topiramate, haloperidol, aripiprazole, pimozide, quetiapine, ziprasidone, olanzapine"
toxic epidermal necrolysis,"prednisone, dexamethasone, infliximab"
toxoplasmosis,"clindamycin, sulfadiazine, pyrimethamine, azithromycin, sulfamethoxazole / trimethoprim, clarithromycin, leucovorin, atovaquone"
"toxoplasmosis, prophylaxis","sulfamethoxazole / trimethoprim, dapsone, clindamycin, leucovorin, pyrimethamine, sulfadiazine"
trachoma,"doxycycline, sulfacetamide sodium, minocycline"
transcobalamin ii deficiency,hydroxocobalamin
transient ischemic attack,"clopidogrel, aspirin"
transurethral prostatectomy,fosfomycin
transverse myelitis,"gabapentin, ibuprofen, methylprednisolone, acetaminophen, sertraline, naproxen, dexamethasone"
traveler's diarrhea,"ciprofloxacin, loperamide, rifaximin, sulfamethoxazole / trimethoprim, bismuth subsalicylate, ofloxacin"
trichinosis,"mebendazole, albendazole"
trichomoniasis,"metronidazole, tinidazole"
trichostrongylosis,"mebendazole, pyrantel, albendazole"
trichotillomania,"naltrexone, sertraline, clomipramine, fluoxetine, fluvoxamine, paroxetine, citalopram, escitalopram"
trigeminal neuralgia,"carbamazepine, gabapentin, baclofen, oxcarbazepine, topiramate, phenytoin"
trophoblastic disease,"methotrexate, dinoprostone, dactinomycin"
trypanosomiasis,"pentamidine, benznidazole"
"tuberculosis, active","isoniazid / pyrazinamide / rifampin, ethambutol, isoniazid, rifampin, pyrazinamide, isoniazid / rifampin, levofloxacin, moxifloxacin, ciprofloxacin, streptomycin, amikacin"
"tuberculosis, extrapulmonary","prednisone, cycloserine"
"tuberculosis, hiv positive",rifabutin
"tuberculosis, latent","isoniazid, rifampin, pyrazinamide, rifapentine"
"tuberculosis, prophylaxis","isoniazid, rifampin, rifabutin, bcg, bcg vaccine"
"tuberculosis, resistant","bedaquiline, aminosalicylic acid, pretomanid"
tuberculous meningitis,"dexamethasone, prednisone"
tuberous sclerosis,everolimus
tumor necrosis factor receptor associated periodic syndrome,canakinumab
turner syndrome,"oxandrolone, somatropin"
tympanostomy tube placement surgery,ciprofloxacin
typhoid fever,"ciprofloxacin, ceftriaxone, azithromycin, ampicillin"
typhoid prophylaxis,"typhoid vaccine, live, typhoid vaccine, inactivated"
ulcerative colitis,"mesalamine, azathioprine, sulfasalazine, balsalazide, budesonide, hydrocortisone, infliximab, clonidine"
"ulcerative colitis, active","mesalamine, budesonide, balsalazide, sulfasalazine, prednisone, cyclosporine, hydrocortisone, prednisolone, methylprednisolone, olsalazine"
"ulcerative colitis, maintenance","mesalamine, sulfasalazine, mercaptopurine, olsalazine, infliximab"
ulcerative proctitis,"mesalamine, hydrocortisone"
underactive thyroid (hypothyroidism),"levothyroxine, thyroid desiccated, liothyronine, liotrix"
undifferentiated connective tissue disease,hydroxychloroquine
upper gi hemorrhage,"famotidine, cimetidine"
upper limb spasticity,"onabotulinumtoxinA, abobotulinumtoxinA, incobotulinumtoxinA"
upper respiratory tract infection,"amoxicillin, doxycycline, azithromycin, cephalexin, clarithromycin, amoxicillin / clavulanate, sulfamethoxazole / trimethoprim, cefuroxime, erythromycin, cefixime, ampicillin"
urea cycle disorders,"sodium phenylbutyrate, glycerol phenylbutyrate"
urinary acidification,"ascorbic acid, potassium phosphate / sodium phosphate, potassium acid phosphate"
urinary alkalinization,"sodium bicarbonate, citric acid / sodium citrate, citric acid / potassium citrate / sodium citrate, citric acid / potassium citrate"
urinary frequency,"oxybutynin, tolterodine, mirabegron, solifenacin, trospium, darifenacin, fesoterodine, flavoxate, onabotulinumtoxinA"
urinary incontinence,"oxybutynin, tolterodine, amitriptyline, mirabegron, solifenacin, hyoscyamine, trospium, duloxetine, fesoterodine, darifenacin"
urinary retention,"bethanechol, neostigmine"
urinary tract infection,"ciprofloxacin, nitrofurantoin, sulfamethoxazole / trimethoprim, amoxicillin, doxycycline, levofloxacin, ceftriaxone, amoxicillin / clavulanate, cefuroxime, trimethoprim, methenamine, ampicillin"
urinary tract stones,"tamsulosin, allopurinol, magnesium oxide, citric acid / potassium citrate, citric acid / sodium citrate"
urinary tract tumors,"bcg, valrubicin"
urography,"iohexol, iopromide, iodixanol"
urothelial carcinoma,"nivolumab, pembrolizumab, durvalumab, atezolizumab, avelumab, erdafitinib, enfortumab vedotin"
urticaria,"cetirizine, fexofenadine, loratadine, ranitidine, doxepin, levocetirizine, diphenhydramine, famotidine, promethazine, chlorpheniramine, omalizumab"
uterine bleeding,progesterone
uterine fibroids,"leuprolide, ulipristal"
uterine leiomyomata,leuprolide
uveitis,"methotrexate, cyclopentolate, atropine, mycophenolate mofetil, dexamethasone, homatropine, azathioprine, prednisolone / sulfacetamide sodium, difluprednate, triamcinolone, sulfasalazine, dexamethasone / tobramycin, dexamethasone / neomycin / polymyxin b"
"uveitis, posterior","prednisone, dexamethasone"
vaccination and prophylaxis,measles virus vaccine / mumps virus vaccine / rubella virus vaccine / varicella virus vaccine
vaginal dryness,"ospemifene, emollients"
vaginal yeast infection,"fluconazole, clotrimazole, nystatin, miconazole, terconazole, ketoconazole, itraconazole, tioconazole, boric acid"
vaginal ph imbalance,hydroxyquinoline
varicella-zoster,"acyclovir, valacyclovir, varicella zoster immune globulin, immune globulin intramuscular, foscarnet"
"varicella-zoster, prophylaxis","varicella virus vaccine, measles virus vaccine / mumps virus vaccine / rubella virus vaccine / varicella virus vaccine"
varicose veins,"polidocanol, sodium tetradecyl sulfate"
vascular magnetic resonance imaging,"gadopentetate dimeglumine, gadobutrol, gadodiamide"
vasoactive intestinal peptide tumor,octreotide
vasomotor rhinitis,carbinoxamine
vasospasm,papaverine
venography,"iodixanol, ioversol, iopromide"
venomous scorpion bite,antivenom (centruroides scorpion)
venomous snake bite,"antivenin (crotalidae) polyvalent, antivenin (micrurus fulvius)"
venomous spider bite,antivenin (black widow spider)
venous thromboembolism,"dalteparin, apixaban, betrixaban, dextran, low molecular weight"
ventricular arrhythmia,"sotalol, magnesium sulfate, acebutolol"
ventricular fibrillation,"amiodarone, lidocaine, vasopressin"
ventricular tachycardia,"atenolol, amiodarone, propranolol, flecainide, mexiletine, lidocaine, propafenone, vasopressin, acebutolol"
vertigo,"meclizine, promethazine"
visceral arteriography,"ioversol, iohexol"
"visceral larva migrans, toxicariasis","mebendazole, albendazole"
vitamin a deficiency,"vitamin a, beta-carotene"
vitamin b1 deficiency,thiamine
vitamin b12 deficiency,"cyanocobalamin, hydroxocobalamin"
vitamin d deficiency,"cholecalciferol, ergocalciferol"
vitamin d insufficiency,cholecalciferol
vitamin e deficiency,vitamin e
vitamin k deficiency,phytonadione
vitamin/mineral supplementation and deficiency,"multivitamin with minerals, folic acid, ferrous sulfate, multivitamin with iron, chromium picolinate, ergocalciferol, thiamine, selenium, zinc sulfate"
vitamin/mineral supplementation during pregnancy/lactation,"multivitamin, prenatal, ferrous sulfate, ferrous fumarate, ferrous gluconate"
vitrectomy,triamcinolone
vitreomacular adhesion,ocriplasmin
vulvodynia,"amitriptyline, gabapentin, tramadol, nortriptyline, sertraline, topiramate, fluoxetine, citalopram, venlafaxine, carbamazepine, desipramine, escitalopram, paroxetine"
waldenstrã¶m macroglobulinemia,ibrutinib
warts,"salicylic acid, fluorouracil, silver nitrate, cantharidin"
weight loss,"phentermine, megestrol, phentermine / topiramate, lorcaserin, liraglutide, bupropion / naltrexone, oxandrolone"
wernicke's encephalopathy,thiamine
west syndrome,corticotropin
whipworm infection,"mebendazole, albendazole"
wilms' tumor (nephroblastoma),"paclitaxel, vincristine, doxorubicin, cyclophosphamide, dactinomycin"
wilson's disease,"penicillamine, zinc acetate, trientine"
wolff-parkinson-white syndrome,"flecainide, propafenone, adenosine"
wound cleansing (wound debridement),acetic acid
wound infection,cefuroxime
x-linked hypophosphatemia,burosumab
xerostomia,"pilocarpine, saliva substitutes, glycerin, amifostine"
yellow fever prophylaxis,yellow fever vaccine
zinc deficiency,zinc acetate
zollinger-ellison syndrome,"pantoprazole, omeprazole, famotidine, lansoprazole, ranitidine, rabeprazole, cimetidine, esomeprazole"
von willebrand disease,"desmopressin, antihemophilic factor / von willebrand factor, von willebrand factor"
